total_bill,tip,sex,smoker,day_,time_,size_,id
15.06,3,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2033
20.69,2.45,female,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2034
17.78,3.27,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2035
24.06,3.6,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2036
16.31,2,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2037
16.93,3.07,female,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2038
18.69,2.31,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2039
31.27,5,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2040
16.04,2.24,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2041
17.46,2.54,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2042
13.94,3.06,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2043
9.68,1.32,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2044
30.4,5.6,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2045
18.29,3,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2046
22.23,5,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2047
32.4,6,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2048
28.55,2.05,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2049
18.04,3,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2050
12.54,2.5,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2051
10.29,2.6,female,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2052
34.81,5.2,female,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2053
9.94,1.56,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2054
25.56,4.34,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2055
19.49,3.51,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2056
38.01,3,male,true,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2057
26.41,1.5,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2058
11.24,1.76,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2059
48.27,6.73,male,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2060
20.29,3.21,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2061
13.81,2,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2062
11.02,1.98,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2063
18.29,3.76,male,true,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2064
17.59,2.64,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2065
20.08,3.15,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2066
16.45,2.47,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2067
3.07,1,female,true,sat,dinner,1,a0a500e3-4baa-46fb-bbf4-0013996b2068
20.23,2.01,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2069
15.01,2.09,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2070
12.02,1.97,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2071
17.07,3,female,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2072
26.86,3.14,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2073
25.28,5,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2074
14.73,2.2,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2075
10.51,1.25,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2076
17.92,3.08,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2077
27.2,4,male,false,thu,lunch,4,a0a500e3-4baa-46fb-bbf4-0013996b2078
22.76,3,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2079
17.29,2.71,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2080
19.44,3,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2081
16.66,3.4,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2082
10.07,1.83,female,false,thu,lunch,1,a0a500e3-4baa-46fb-bbf4-0013996b2083
32.68,5,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2084
15.98,2.03,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2085
34.83,5.17,female,false,thu,lunch,4,a0a500e3-4baa-46fb-bbf4-0013996b2086
13.03,2,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2087
18.28,4,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2088
24.71,5.85,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2089
21.16,3,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2090
28.97,3,male,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2091
22.49,3.5,male,false,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2092
5.75,1,female,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2093
16.32,4.3,female,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2094
22.75,3.25,female,false,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2095
40.17,4.73,male,true,fri,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2096
27.28,4,male,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2097
12.03,1.5,male,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2098
21.01,3,male,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2099
12.46,1.5,male,false,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2100
11.35,2.5,female,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2101
15.38,3,female,true,fri,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2102
44.3,2.5,female,true,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2103
22.42,3.48,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2104
20.92,4.08,female,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2105
15.36,1.64,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2106
20.49,4.06,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2107
25.21,4.29,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2108
18.24,3.76,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2109
14.31,4,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2110
14,3,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2111
7.25,1,female,false,sat,dinner,1,a0a500e3-4baa-46fb-bbf4-0013996b2112
38.07,4,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2113
23.95,2.55,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2114
25.71,4,female,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2115
17.31,3.5,female,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2116
29.93,5.07,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2117
10.65,1.5,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2118
12.43,1.8,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2119
24.08,2.92,female,false,thu,lunch,4,a0a500e3-4baa-46fb-bbf4-0013996b2120
11.69,2.31,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2121
13.42,1.68,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2122
14.26,2.5,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2123
15.95,2,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2124
12.48,2.52,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2125
29.8,4.2,female,false,thu,lunch,6,a0a500e3-4baa-46fb-bbf4-0013996b2126
8.52,1.48,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2127
14.52,2,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2128
11.38,2,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2129
22.82,2.18,male,false,thu,lunch,3,a0a500e3-4baa-46fb-bbf4-0013996b2130
19.08,1.5,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2131
20.27,2.83,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2132
11.17,1.5,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2133
12.26,2,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2134
18.26,3.25,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2135
8.51,1.25,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2136
10.33,2,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2137
14.15,2,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2138
16,2,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2139
13.16,2.75,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2140
17.47,3.5,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2141
34.3,6.7,male,false,thu,lunch,6,a0a500e3-4baa-46fb-bbf4-0013996b2142
41.19,5,male,false,thu,lunch,5,a0a500e3-4baa-46fb-bbf4-0013996b2143
27.05,5,female,false,thu,lunch,6,a0a500e3-4baa-46fb-bbf4-0013996b2144
16.43,2.3,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2145
8.35,1.5,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2146
18.64,1.36,female,false,thu,lunch,3,a0a500e3-4baa-46fb-bbf4-0013996b2147
11.87,1.63,female,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2148
9.78,1.73,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2149
7.51,2,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2150
14.07,2.5,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2151
13.13,2,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2152
17.26,2.74,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2153
24.55,2,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2154
19.77,2,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2155
29.85,5.14,female,false,sun,dinner,5,a0a500e3-4baa-46fb-bbf4-0013996b2156
48.17,5,male,false,sun,dinner,6,a0a500e3-4baa-46fb-bbf4-0013996b2157
25,3.75,female,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2158
13.39,2.61,female,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2159
16.49,2,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2160
21.5,3.5,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2161
12.66,2.5,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2162
16.21,2,female,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2163
13.81,2,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2164
17.51,3,female,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2165
24.52,3.48,male,false,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2166
20.76,2.24,male,false,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2167
31.71,4.5,male,false,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2168
10.59,1.61,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2169
10.63,2,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2170
50.81,10,male,true,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2171
15.81,3.16,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2172
7.25,5.15,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2173
31.85,3.18,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2174
16.82,4,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2175
32.9,3.11,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2176
17.89,2,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2177
14.48,2,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2178
9.6,4,female,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2179
34.63,3.55,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2180
34.65,3.68,male,true,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2181
23.33,5.65,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2182
45.35,3.5,male,true,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2183
23.17,6.5,male,true,sun,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2184
40.55,3,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2185
20.69,5,male,false,sun,dinner,5,a0a500e3-4baa-46fb-bbf4-0013996b2186
20.9,3.5,female,true,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2187
30.46,2,male,true,sun,dinner,5,a0a500e3-4baa-46fb-bbf4-0013996b2188
18.15,3.5,female,true,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2189
23.1,4,male,true,sun,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2190
15.69,1.5,male,true,sun,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2191
19.81,4.19,female,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2192
28.44,2.56,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2193
15.48,2.02,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2194
16.58,4,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2195
7.56,1.44,male,false,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2196
10.34,2,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2197
43.11,5,female,true,thu,lunch,4,a0a500e3-4baa-46fb-bbf4-0013996b2198
13,2,female,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2199
13.51,2,male,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2200
18.71,4,male,true,thu,lunch,3,a0a500e3-4baa-46fb-bbf4-0013996b2201
12.74,2.01,female,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2202
13,2,female,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2203
16.4,2.5,female,true,thu,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2204
20.53,4,male,true,thu,lunch,4,a0a500e3-4baa-46fb-bbf4-0013996b2205
16.47,3.23,female,true,thu,lunch,3,a0a500e3-4baa-46fb-bbf4-0013996b2206
26.59,3.41,male,true,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2207
38.73,3,male,true,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2208
24.27,2.03,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2209
12.76,2.23,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2210
30.06,2,male,true,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2211
25.89,5.16,male,true,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2212
48.33,9,male,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2213
13.27,2.5,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2214
28.17,6.5,female,true,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2215
12.9,1.1,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2216
28.15,3,male,true,sat,dinner,5,a0a500e3-4baa-46fb-bbf4-0013996b2217
11.59,1.5,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2218
7.74,1.44,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2219
30.14,3.09,female,true,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2220
12.16,2.2,male,true,fri,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2221
13.42,3.48,female,true,fri,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2222
8.58,1.92,male,true,fri,lunch,1,a0a500e3-4baa-46fb-bbf4-0013996b2223
15.98,3,female,false,fri,lunch,3,a0a500e3-4baa-46fb-bbf4-0013996b2224
13.42,1.58,male,true,fri,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2225
16.27,2.5,female,true,fri,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2226
10.09,2,female,true,fri,lunch,2,a0a500e3-4baa-46fb-bbf4-0013996b2227
20.45,3,male,false,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2228
13.28,2.72,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2229
22.12,2.88,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2230
24.01,2,male,true,sat,dinner,4,a0a500e3-4baa-46fb-bbf4-0013996b2231
15.69,3,male,true,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2232
11.61,3.39,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2233
10.77,1.47,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2234
15.53,3,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2235
10.07,1.25,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2236
12.6,1,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2237
32.83,1.17,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2238
35.83,4.67,female,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2239
29.03,5.92,male,false,sat,dinner,3,a0a500e3-4baa-46fb-bbf4-0013996b2240
27.18,2,female,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2241
22.67,2,male,true,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2242
17.82,1.75,male,false,sat,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2243
18.78,3,female,false,thu,dinner,2,a0a500e3-4baa-46fb-bbf4-0013996b2244
